套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
A03S-1289,AP2,N5,22,736.0098842607938,832.8917742146688,96.88188995387495,579.8942605027881,582.8942605027881,585.8942605027881,585.8942605027881,585.8942605027881,736.0098842607938,6.681881076923219,839.573655291592,1,2
A03S-1290,AP2,N2,23,909.4454051450209,1010.3538090140855,100.90840386906466,816.4581254865408,824.4581254865408,827.4581254865408,827.4581254865408,827.4581254865408,909.4454051450209,6.81694333333337,1017.1707523474189,0,2
A03S-1291,AP2,N5,24,850.573655291592,951.5464911477354,100.97283585614345,839.573655291592,847.573655291592,850.573655291592,850.573655291592,850.573655291592,850.573655291592,8.240734256410292,959.7872254041457,1,2
A03S-1302,AP2,N2,25,1010.3538090140855,1146.0987472149673,135.7449382008817,913.182873145021,921.182873145021,924.182873145021,924.182873145021,924.182873145021,1010.3538090140855,10.58101989743568,1156.679767112403,1,2
A03S-1251,AP2,N5,26,951.5464911477354,1004.5207052563526,52.974214108617154,870.3904087052383,878.3904087052383,881.3904087052383,881.3904087052383,881.3904087052383,951.5464911477354,3.907863179487208,1008.4285684358398,0,5
T63S-4089,STA238FC,N5,27,1004.5207052563526,1023.8588618324617,19.338156576109075,959.7872254041457,967.7872254041457,970.7872254041457,970.7872254041457,970.7872254041457,1004.5207052563526,18.750000000000114,1042.6088618324618,1,1
T63S-4097,STA238FC,N5,28,1028.1707523474188,1051.5744894706543,23.40373712323541,1017.1707523474189,1025.1707523474188,1028.1707523474188,1028.1707523474188,1028.1707523474188,1028.1707523474188,44.03336690476158,1095.6078563754158,0,1
T63S-4101,STA238FC,N5,29,1051.5744894706543,1080.32432968212,28.749840211465713,1036.6088618324618,1039.6088618324618,1042.6088618324618,1042.6088618324618,1042.6088618324618,1051.5744894706543,99.92609082027934,1180.2504205023993,1,1
T63S-4102,STA238FC,N2,30,1146.0987472149673,1182.111902437161,36.01315522219383,1028.1707523474188,1031.1707523474188,1034.1707523474188,1034.1707523474188,1034.1707523474188,1146.0987472149673,10.561378666666542,1192.6732811038275,0,1
T63S-4099,STA238FC,N5,31,1095.6078563754158,1132.0535059315278,36.445649556111796,1089.6078563754158,1092.6078563754158,1095.6078563754158,1095.6078563754158,1095.6078563754158,1095.6078563754158,6.0267754871795205,1138.0802814187073,0,1
T63S-4098,STA238FC,N2,32,1182.111902437161,1218.5655194235096,36.453616986348536,1156.679767112403,1164.679767112403,1167.679767112403,1167.679767112403,1167.679767112403,1182.111902437161,6.0267754871795205,1224.5922949106891,1,1
T63S-4094,STA238FC,N5,33,1144.0802814187073,1188.3834124984683,44.30313107976093,1138.0802814187073,1141.0802814187073,1144.0802814187073,1144.0802814187073,1144.0802814187073,1144.0802814187073,14.289868605359288,1202.6732811038275,0,1
T63S-4093,STA238FC,N2,34,1218.5655194235096,1265.8521202161774,47.2866007926677,1202.6732811038275,1210.6732811038275,1213.6732811038275,1213.6732811038275,1213.6732811038275,1218.5655194235096,10.830796307692253,1276.6829165238696,0,1
T63S-4100,STA238FC,N5,35,1188.3834124984683,1237.3986382144446,49.01522571597648,1174.2504205023993,1177.2504205023993,1180.2504205023993,1180.2504205023993,1180.2504205023993,1188.3834124984683,165.38601730158734,1402.784655516032,1,1
T63S-4103,STA238FC,N2,36,1265.8521202161774,1317.1440477785109,51.29192756233346,1224.5922949106891,1232.5922949106891,1235.5922949106891,1235.5922949106891,1235.5922949106891,1265.8521202161774,16.69037047619031,1333.8344182547012,1,1
T63S-4088,STA238FC,N5,37,1241.5922949106891,1256.1457126466173,14.553417735928244,1235.5922949106891,1238.5922949106891,1241.5922949106891,1241.5922949106891,1241.5922949106891,1241.5922949106891,160.31727858370027,1416.4629912303176,0,2
T63S-4091,STA238FC,N5,38,1402.784655516032,1424.4611266203165,21.67647110428448,1391.784655516032,1399.784655516032,1402.784655516032,1402.784655516032,1402.784655516032,1402.784655516032,23.415743730158965,1447.8768703504754,1,2
T63S-4096,STA238FC,N2,39,1317.1440477785109,1354.3652146662926,37.22116688778165,1276.6829165238696,1279.6829165238696,1282.6829165238696,1282.6829165238696,1282.6829165238696,1317.1440477785109,23.058268015872954,1377.4234826821655,0,2
T63S-4092,STA238FC,N5,40,1424.4611266203165,1470.5964145687665,46.1352879484501,1410.4629912303176,1413.4629912303176,1416.4629912303176,1416.4629912303176,1416.4629912303176,1424.4611266203165,37.53495087301599,1508.1313654417825,0,2
T63S-4855,STA238FC,N2,41,1354.3652146662926,1359.8379129240036,5.472698257711152,1332.850359983639,1335.850359983639,1338.850359983639,1338.850359983639,1338.850359983639,1354.3652146662926,34.07100174228913,1393.9089146662927,1,3
T63S-4090,STA238FC,N2,42,1377.4234826821655,1396.157045134343,18.733562452177452,1366.4234826821655,1374.4234826821655,1377.4234826821655,1377.4234826821655,1377.4234826821655,1377.4234826821655,11.62761038168901,1407.784655516032,0,3
T63S-4084,STA238FC,N2,43,1427.4629912303176,1446.5687259520128,19.10573472169513,1416.4629912303176,1424.4629912303176,1427.4629912303176,1427.4629912303176,1427.4629912303176,1427.4629912303176,6.293829603174572,1452.8625555551873,1,3
T63S-4087,STA238FC,N5,44,1470.5964145687665,1494.3424373951907,23.746022826424138,1441.8768703504754,1444.8768703504754,1447.8768703504754,1447.8768703504754,1447.8768703504754,1470.5964145687665,9.359036153846091,1503.7014735490368,1,3
T63S-4086,STA238FC,N2,45,1446.5687259520128,1480.4969293596303,33.9282034076175,1427.4629912303176,1430.4629912303176,1433.4629912303176,1433.4629912303176,1433.4629912303176,1446.5687259520128,12.339753846153826,1492.836683205784,0,3
T63S-4095,STA238FC,N5,46,1524.5475782610745,1564.806546119064,40.25896785798957,1513.5475782610745,1521.5475782610745,1524.5475782610745,1524.5475782610745,1524.5475782610745,1524.5475782610745,102.16076714285714,1666.9673132619212,0,3
U02S-1347,DC12,N2,47,1480.4969293596303,1494.2488554963893,13.75192613675911,1447.8768703504754,1450.8768703504754,1453.8768703504754,1453.8768703504754,1453.8768703504754,1480.4969293596303,37.985317261905266,1532.2341727582946,1,1
